customerid,category,country,industry,month,billedamount
1,Individual,USA,Technology,2022-01,1532.75
2,Individual,Canada,Legal,2022-01,321.40
3,Company,Germany,Finance,2022-02,893.20
4,Individual,USA,Healthcare,2022-02,115.30
5,Company,India,Engineering,2022-03,12021.80
614,Company,USA,Technology,2022-03,11455.90
615,Individual,Canada,Legal,2022-04,1410.50
616,Company,Germany,Finance,2022-04,974.10
617,Individual,USA,Accounting,2022-05,5189.60
618,Company,India,Engineering,2022-06,2165.40
619,Individual,Brazil,Retail,2022-07,845.20
620,Company,UK,Marketing,2022-07,2901.00
621,Individual,France,Healthcare,2022-08,723.50
622,Company,Japan,Technology,2022-08,11998.00
623,Company,Australia,Telecom,2022-09,3170.80
624,Individual,Mexico,Legal,2022-09,415.75
625,Company,USA,Energy,2022-10,8732.60
626,Individual,Canada,Education,2022-10,284.90
627,Company,India,Finance,2022-11,10201.70
628,Individual,Germany,Engineering,2022-12,532.40
